#EEP	M/Mo	LogTeff	LogG	LogL/Lo	sdss_u	sdss_g	sdss_r	sdss_i	sdss_z
12	0.110099	3.5354	5.3344	-2.7600	17.8610	14.1306	12.4496	11.6434	11.2132
13	0.121535	3.5417	5.2837	-2.6407	17.2999	13.7343	12.0867	11.3298	10.9188
14	0.135386	3.5487	5.2320	-2.5144	16.7200	13.3153	11.7058	10.9968	10.6063
15	0.151964	3.5561	5.1861	-2.3891	16.1537	12.8977	11.3300	10.6652	10.2955
16	0.169215	3.5629	5.1518	-2.2809	15.6676	12.5346	11.0073	10.3786	10.0271
17	0.184543	3.5680	5.1260	-2.1964	15.2999	12.2536	10.7594	10.1558	9.8171
18	0.198285	3.5720	5.1042	-2.1275	15.0131	12.0288	10.5612	9.9751	9.6459
19	0.212123	3.5754	5.0836	-2.0641	14.7590	11.8256	10.3814	9.8095	9.4880
20	0.226764	3.5786	5.0641	-2.0031	14.5216	11.6325	10.2103	9.6510	9.3363
21	0.242555	3.5816	5.0452	-1.9429	14.2895	11.4429	10.0425	9.4949	9.1865
22	0.259924	3.5846	5.0271	-1.8828	14.0590	11.2539	9.8757	9.3392	9.0369
23	0.277428	3.5873	5.0112	-1.8277	13.8490	11.0812	9.7234	9.1967	8.8999
24	0.292579	3.5896	4.9983	-1.7827	13.6784	10.9408	9.5997	9.0808	8.7882
25	0.303437	3.5910	4.9894	-1.7518	13.5610	10.8445	9.5150	9.0012	8.7114
26	0.310991	3.5920	4.9837	-1.7316	13.4846	10.7815	9.4596	8.9490	8.6611
27	0.316613	3.5927	4.9798	-1.7170	13.4295	10.7362	9.4198	8.9115	8.6249
28	0.320915	3.5933	4.9773	-1.7065	13.3887	10.7028	9.3906	8.8843	8.5985
29	0.324538	3.5938	4.9749	-1.6972	13.3528	10.6735	9.3652	8.8604	8.5755
30	0.328050	3.5943	4.9723	-1.6880	13.3177	10.6447	9.3400	8.8367	8.5528
31	0.332296	3.5949	4.9695	-1.6774	13.2765	10.6110	9.3107	8.8092	8.5265
32	0.337360	3.5956	4.9661	-1.6646	13.2267	10.5703	9.2754	8.7761	8.4946
33	0.343112	3.5963	4.9617	-1.6495	13.1691	10.5233	9.2346	8.7377	8.4574
34	0.353558	3.5980	4.9520	-1.6203	13.0551	10.4299	9.1536	8.6620	8.3848
35	0.385021	3.6040	4.9191	-1.5262	12.6763	10.1216	8.8906	8.4178	8.1513
