lambda(m)	intenzitet(W/m^3)
5.00E-10	51694933.5041983
0.0000000015	961708113.028092
0.0000000025	688641294.268297
0.0000000035	350677912.452737
0.0000000045	901382785.938148
0.0000000055	777734599.977393
0.0000000065	1199970257.22116
0.0000000075	786269239.075694
0.0000000085	595884338.604809
0.0000000095	586933375.648054
0.0000000105	420487097.038257
0.0000000115	361943636.062495
0.0000000125	234436127.933874
0.0000000135	369678933.352565
0.0000000145	234319557.253507
0.0000000155	1581989029.73829
0.0000000165	3373097533.57788
0.0000000175	8550459404.92249
0.0000000185	5397222500.99402
0.0000000195	3141163512.03331
0.0000000205	2708269964.01314
0.0000000215	2936706865.14669
0.0000000225	1747144704.38688
0.0000000235	1039185983.08633
0.0000000245	1289146827.70194
0.0000000255	1973624883.3857
0.0000000265	768991798.949865
0.0000000275	2143901341.49327
0.0000000285	1695270751.62355
0.0000000295	725319426.19807
0.0000000305	14323206026.2418
0.0000000315	2033825313.31811
0.0000000325	481353645.14419
0.0000000335	1249970752.62145
0.0000000345	1133941293.2704
0.0000000355	1361170855.21444
0.0000000365	1878952837.97333
0.0000000375	317151352.131459
0.0000000385	241817549.944258
0.0000000395	201255116.415112
0.0000001155	641679963.034718
0.0000001165	897677503.59791
0.0000001175	3192746038.09573
0.0000001185	1220744817.758
0.0000001195	2069920591.84605
0.0000001205	5662837122.68749
0.0000001215	252171524304.002
0.0000001225	2579542626.97924
0.0000001235	1632405848.99703
0.0000001245	1163958243.46491
0.0000001255	1065580915.71229
0.0000001265	1422745153.87974
0.0000001275	752547006.540943
0.0000001285	579023222.337433
0.0000001295	656667621.939052
0.0000001305	6169919582.28412
0.0000001315	983773277.526139
0.0000001325	756960039.440553
0.0000001335	7069179116.54416
0.0000001345	707084441.197797
0.0000001355	1640440899.46519
0.0000001365	1042724735.88319
0.0000001375	1096430513.62372
0.0000001385	1089436272.80169
0.0000001395	2851069047.46276
0.0000001405	2470424143.67853
0.0000001415	1541730512.62581
0.0000001425	1695437281.16693
0.0000001435	1900601678.61292
0.0000001445	1889860523.06481
0.0000001455	1978537504.91546
0.0000001465	2439033324.75111
0.0000001475	3111063297.06711
0.0000001485	3192912567.63911
0.0000001495	2857105743.41034
0.0000001505	3203986782.27398
0.0000001515	3465271635.83953
0.0000001525	4276062350.17815
0.0000001535	4750255224.95694
0.0000001545	8008405741.21575
0.0000001555	7141203144.05665
0.0000001565	7311895926.02267
0.0000001575	6473419675.09688
0.0000001585	6464260550.2109
0.0000001595	6393069170.41531
0.0000001605	7243202489.37781
0.0000001615	8519235115.53846
0.0000001625	9825243059.50778
0.0000001635	10415590290.7952
0.0000001645	12143334303.3781
0.0000001655	19399859156.2264
0.0000001665	13360248941.6383
0.0000001675	15488496506.0537
0.0000001685	17125065593.6353
0.0000001695	22815796414.8392
0.0000001705	26173864657.1269
0.0000001715	26327488160.8963
0.0000001725	28613106143.8072
0.0000001735	29041503394.1561
0.0000001745	35580285915.0302
0.0000001755	43705678660.4715
0.0000001765	47115371061.2074
0.0000001775	57011389176.6523
